melhor resultado;pior resultado;tempo
1.312727704316785E-12 ; 1.5401013797600172E-12;0.579310569
1.872280108727864E-12 ; 2.284394895468722E-12;0.51807557
4.696687483374262E-12 ; 5.265121671982342E-12;0.501477368
2.772893026303791E-12 ; 3.881339694089547E-12;0.499768162
1.509903313490213E-13 ; 2.611244553918368E-13;0.480796632
4.842704015572963E-11 ; 5.906741762373713E-11;0.486566638
6.981082378842984E-13 ; 1.0089706847793423E-12;0.481733646
1.2931877790833823E-12 ; 1.55964130499342E-12;0.483101132
1.1567635738174431E-11 ; 1.4388490399142029E-11;0.486162732
2.8261837314857985E-12 ; 3.2365221613872563E-12;0.482517309
2.6290081223123707E-12 ; 3.112177182629239E-12;0.49012512
7.895906151134113E-12 ; 8.956391184256063E-12;0.493259773
5.897504706808832E-13 ; 8.455458555545192E-13;0.478975128
1.4075851595407585E-11 ; 1.7287504761043238E-11;0.481492752
1.4210854715202004E-14 ; 5.6843418860808015E-14;0.477882346
1.2729373111142195E-11 ; 1.6752821352383762E-11;0.49508671
1.0842882147699129E-11 ; 1.2747136679536197E-11;0.497894735
4.654054919228656E-13 ; 5.968558980384842E-13;0.480118624
3.597122599785507E-12 ; 5.254463530945941E-12;0.483147017
3.105071755271638E-12 ; 3.666400516522117E-12;0.486669275
2.609468197078968E-12 ; 3.0730973321624333E-12;0.485410463
1.7141843500212417E-12 ; 2.0552448631860898E-12;0.484110597
4.1389114358025836E-13 ; 5.933031843596837E-13;0.474591324
1.1226575225009583E-12 ; 1.4139800441625994E-12;0.487478296
1.687538997430238E-12 ; 1.9699797348948778E-12;0.481038734
5.861977570020827E-13 ; 8.135714324453147E-13;0.479759395
1.7497114868092467E-12 ; 2.2311041902867146E-12;0.489836529
3.1175062531474396E-12 ; 4.162004074714787E-12;0.490265794
4.810374321095878E-12 ; 6.536993168992922E-12;0.493349731
2.0943247136528953E-12 ; 2.6627589022609754E-12;0.487960085
